협력사 이름,협력사 Status,발주담당자,협력사 결제조건,하도급계약 대상여부,업태,인쇄,1. 제조유형,2. Goods Category_1.goods
이모텔리,거래중,육승미,건별,대상,"테크, UV평판인쇄",UV인쇄,턴키제작,Lifestyle
이지굿스,거래중,육승미,정기(월),대상,"아크릴가공, UV평판인쇄",UV인쇄,턴키제작,Lifestyle
주식회사 더블유엔피,거래중,육승미,건별,비대상,"생활용품, 옵셋인쇄",옵셋인쇄,턴키제작,Lifestyle
주식회사 따벨라,거래중,육승미,건별,비대상,"드링크웨어, 스테인리스",,단순구매,Drinkware
주식회사 제이더블유굿즈,거래중,육승미,건별,비대상,"드링크웨어, 실크인쇄, 플라스틱 제조",UV인쇄,턴키제작,Drinkware
강천FNT,거래중,이난영,정기(주),대상,"드링크웨어, 실크인쇄",UV실크인쇄,외주용역,Drinkware
주식회사 꾸띠잔홀딩스,거래중,이난영,정기(월),대상,"드링크웨어, 레이저인쇄, 실크인쇄","레이저인쇄, 실크인쇄",외주용역,Drinkware
주식회사 위즈프로(구.호언),거래중,이난영,정기(월),대상,"UV평판인쇄, UV곡면인쇄, 승화전사인쇄, 패브릭",UV인쇄,외주용역,Tech
"Dongguan Songming Electronic Technology Co., Ltd",거래중,김민정,건별,비대상,,,,
"GUANGZHOU KINGSONS BAGS TECHNOLOGY CO., LTD",거래중,김민정,,,,,,
"Longgang Xingqing Bag Co.,Ltd.",거래중,김민정,,비대상,,,,
"Shenzhen Shengyihe Industry Co., Ltd",거래중,김민정,,비대상,,,,
비피코리아,거래중,정승윤,,,,,,
성우스크린,거래중,이난영,정기(월),,,실크인쇄,,Drinkware
세종기프트 주식회사,거래중,김하은,건별,비대상,"패키지, 펠트가공, 지류",,단순구매,"Kit Package, Awards & Recognition, Lifestyle"
"GUANGDONG JIADIANMEI DAILY-USE COMMODITY CO.,LTD",거래중,김민정,,비대상,생활용품,,단순구매,Lifestyle
"Shanghai Ansheng insulation Technology Co.,Ltd",거래중,김민정,,비대상,드링크웨어,,단순구매,Drinkware
"HEFEI WORLD BAG CO., LTD",거래중,김민정,,비대상,패브릭,,단순구매,Bag&pouch
주식회사 프래그(PRAG Corp.),거래중,이난영,정기(월),대상,"생활용품, 플라스틱 제조",UV인쇄,턴키제작,Lifestyle
(주) 모나미,거래중,김민정,정기(월),비대상,"사무용품, UV평판인쇄",UV인쇄,턴키제작,Stationery
도로어워드,거래중,이난영,정기(월),대상,"패, 칠도금",칠도금,턴키제작,Awards & Recognition
"Shenzhen Xin Hong Yang Packaging Products Co., Ltd.",거래중,김민정,,비대상,생활용품,,단순구매,Lifestyle
