task_id,과업지시일자,과업담당자_이름,수주처,project,발주번호,movement_산출이동,sync_itemdb,산출물,비스포크여부,긴급여부,미입하 발생이력_movement,재제작/추가제작,발주지시수량,고객주문수량,이슈체크(Order 이슈 관리용) (from order),공급가액,배송비,취득원가,파츠유형,협력사 결제조건 (from 수주처),R) 판매가(최종),세금계산서작성월 (from 지출결의),입하예정일 (from movement_산출물),입하확정일 (from movement_산출물),실제입하일 (from movement),지출결의,결제일(from 지출결의),분할지출여부,합계_분할,발주수량_분할,지출결의_분할갯수,지출결의 금액 합계 (from 지출결의),지출현황,총 지출 단가 (VAT 포함),총 지출액 (VAT 제외),조정금액(부가세포함),입하여부
PNA51636_컬러풀노트패드(블랙)_A1,2026.5.11,김민지,개미기획,PNA51636-NHN,PO072717,MM00210551,"CNPB_PT1569-컬러풀노트패드_블랙,CNPB_PT2703-컬러풀노트패드_추상적산출물,CNPB_PT2018-실크_80x180_청산인쇄[컬러풀노트패드_커버]",실크(컬러풀 노트패드_블랙),,긴급,0 checked out of 1,,222,220,0 checked out of 3,118800,0,118800,"Product Parts, Phantom Parts, Printing Parts",정기(격주),\1038400,26년 5월,2026.5.19,,2026.5.19,26.6.1-6.5_개미기획,2026.6.4,,₩0,,1,₩6628600,지출완료,589,118800,,입하완료
PNA51916_포시즌 블랭킷_C1,2026.5.11,김민지,개미기획,PNA51916-에이치아이여성의원,PO072720,MM00210561,"FSBL_PT1729-펠트스트링파우치(커스텀인쇄)_그레이_200-1,FSBL_PT2534-펠트스트링파우치_추상적산출물,FSBL_PT2214-실크_개미기획[펠트스트링파우치]",실크(후드집업_펠트스트링파우치),,긴급,0 checked out of 1,,101,100,0 checked out of 3,70400,0,70400,"Package Parts, Phantom Parts, Printing Parts",정기(격주),\170000,26년 5월,2026.5.19,,2026.5.15,26.6.1-6.5_개미기획,2026.6.4,,₩0,,1,₩6628600,지출완료,767,70400,,입하완료
PNA51930_커넥트 6in1 케이블키트_P1,2026.5.11,이난영,주식회사 모아패키지,PNA51930-필더필,PO072722,MM00210572,BSPK_PT4605-비스포크_산출물(상품),,비스포크 변환,-,0 checked out of 1,,550,530,0 checked out of 1,543500,0,543500,Product Parts,정기(월),\768500,26년 5월,2026.5.28,,2026.5.28,26.6.8-6.12_주식회사 모아패키지,2026.6.11,,#ERROR!,,1,₩17721561,지출완료,1087,543500,,입하완료
PNA51636_모바일오피스파우치2.0_C1,2026.5.11,육승미,서울디지털인쇄협동조합,PNA51636-NHN,PO072713,MM00210545,MOSL_PT5291-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커,,긴급,0 checked out of 1,,230,220,0 checked out of 1,57500,0,57500,Package Parts,정기(월),\0,26년 5월,2026.5.15,,2026.5.13,26.6.8-6.12_서울디지털인쇄협동조합,2026.6.11,,₩0,,1,₩20710151,지출완료,275,57500,,입하완료
PNA51636_모바일오피스파우치2.0_B1,2026.5.11,육승미,서울디지털인쇄협동조합,PNA51636-NHN,PO072714,MM00210554,MOSL_PT5290-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄,웰컴페이퍼,,긴급,0 checked out of 1,,230,220,0 checked out of 1,156400,0,156400,Package Parts,정기(월),\134200,26년 5월,2026.5.15,,2026.5.13,26.6.8-6.12_서울디지털인쇄협동조합,2026.6.11,,₩0,,1,₩20710151,지출완료,748,156400,,입하완료
PNA51636_라이트샤오미펜_B1,2026.5.11,육승미,서울디지털인쇄협동조합,PNA51636-NHN,PO072716,MM00210553,LXMP_PT4592-배경지(커스텀인쇄)_화이트+디지털풀컬러[OPP],배경지(라이트 샤오미펜),,긴급,0 checked out of 1,,230,220,0 checked out of 1,69000,0,69000,Package Parts,정기(월),\0,26년 5월,2026.5.15,,2026.5.13,26.6.8-6.12_서울디지털인쇄협동조합,2026.6.11,,₩0,,1,₩20710151,지출완료,330,69000,,입하완료
수동task_SK일렉링크,2026.5.11,육승미,엠알오즈(MROZ),,PO072710,,,,,,,,624,,,558000,0,558000,,정기(월),\0,26년 4월,,,,26.5.11-5.15_엠알오즈(MROZ),2026.5.14,,₩0,,1,₩55421770,지출완료,984,558000,,
수동task_엑솔라코리아,2026.5.11,육승미,엠알오즈(MROZ),,PO072709,,,,,,,,706,,,176500,0,176500,,정기(월),\0,26년 4월,,,,26.5.11-5.15_엠알오즈(MROZ),2026.5.14,,₩0,,1,₩55421770,지출완료,275,176500,,
PNA51931_미스트 워터보틀_A1,2026.5.11,이난영,강천FNT,PNA51931-더에스엠씨(워터보틀본제작),PO072682,MM00210418,"MIST_PT3341-원형스티커(전용)_화이트+디지털풀컬러,MIST_PT3853-미스트워터보틀_추상적산출물,MIST_PT3854-미스트워터보틀_반투명화이트,MIST_PT3857-실크_주식회사오보틀",미스트워터보틀,,-,0 checked out of 1,,56,55,0 checked out of 4,205000,0,205000,"Package Parts, Phantom Parts, Product Parts, Printing Parts",정기(주),\429000,26년 5월,2026.5.18,,2026.5.13,26.5.18-5.22_강천FNT,2026.5.21,,₩0,,1,₩225500,지출완료,4027,205000,,입하완료
수동TASK생성_분할결제,2026.5.11,육승미,서울디지털인쇄협동조합,,PO072708,,,,,,,,1631,,,540200,0,540200,,정기(월),\0,26년 4월,,,,26.5.11-5.15_서울디지털인쇄협동조합,2026.5.14,,₩0,,1,₩23195029,지출완료,364,540200,,
