Goods Name,Goods Code,굿즈 Status,출시일,졸업일,출시예정일
임팩트 슬로건타월,IPST,판매중,2025-02-26,,2025-02-26
솔리드 레디백,SORB,판매중,2026-04-15,,
매트블랙 텀블러,MTTB,판매중,2019-03-01,,
킵세이프 마그넷 배터리 Slim,KSMB,판매중,2025-05-30,,
에너제틱 목마사지기,ENGT,졸업,2022-03-24,2024-11-26,2022-03-25
디자이너 노트,DSGN,판매중,2018-09-21,,
세이프라이프 차량용소화기,TCFE,판매중,2022-01-11,,
I'm not a paper cup,ICUP,졸업,2019-08-01,2025-05-20,
데일리 핫팩 세트,DAHP,졸업,2019-12-11,2021-12-24,
그로우 북라이트 ,BMLT,판매 준비,2026-07-10,,
스탠드-업 칫솔,STTB,판매중,2019-08-26,,
샤오미 사일런트 마우스,XMOU,졸업,2021-06-22,2024-04-26,
유니크 디퓨저,UNDF,판매중,2018-12-11,,
차량용 공기청정기,ALAC,졸업,2018-11-29,2020-07-10,
Two-way 에코 쇼핑백,TWOS,졸업,2022-02-18,2024-07-23,2022-02-18
폴더블 텀블러,FOLC,판매중,2020-06-01,,
킵세이프 마그넷 배터리 Lite,KSEP,판매중,2025-09-25,,
페이머스 캡슐보틀,FACB,판매중,2020-04-01,2025-12-31,
MiiR 텀블러,MIRT,판매중,2020-11-19,,
브랜디드 타월,BDTW,판매중,2025-05-23,,
레더홀더,LTHD,졸업,2018-08-01,2021-02-03,
에센셜 와인오프너 세트,ESWO,판매중,2024-11-07,,2024-10-24
트루KF94 프린팅 마스크,TRKF,졸업,2021-12-15,2025-04-30,
데스크테리어 매트,DSKT,판매중,2022-01-17,,2022-01-11
글로시 키링,GKEY,판매중,2020-03-25,,
휴대용 UVC 살균기,UVCH,졸업,2020-03-06,2021-05-04,
블랙쇼핑백,BSPB,판매중,2025-11-26,,
펜홀더 피규어 세트,BRPH,판매중,2026-06-04,,
심플 블랙 펜,SPBP,졸업,2018-08-01,2022-02-21,
올 블랙 펜,ALBP,판매중,2019-08-23,,
,,,,,
올웨이즈 양우산,ALUM,판매중,2023-08-08,,
레더라벨 캠핑체어,LTLB,판매중,2022-04-07,,2022-04-06
스트랩 마스크케이스,STMC,졸업,2020-06-22,2025-04-30,
슬림 터보 선풍기,FANC,판매중,2026-04-17,,
모이스트 듀얼 가습기,MODU,졸업,2020-11-20,2023-05-30,
"No Stress, PD충전기",PDCG,졸업,2021-02-05,2024-10-25,
슈가케인 펜,SCPN,판매중,2021-05-21,,2022-04-14
컴바인 머그,COMB,졸업,2021-09-16,2023-04-28,
테크 미니 파우치,TCMP,판매중,2024-02-23,,
카드트레이 피규어 세트,CTPS,판매중,2025-04-16,,
BoXtand 슬리브박스,BOXS,졸업,2019-08-28,2021-06-30,
Quality 슬리브 박스,SLVB,판매중,2019-08-28,,
젠틀 차량용 청소기,GTVC,졸업,2025-01-31,2025-05-14,2025-01-31
스타일 수면안대,STSM,판매중,2021-04-15,,
라운드 밤부 칫솔,RBTB,판매중,2021-05-19,,
스테이쿨 넥쿨러,STCN,졸업,2024-04-30,2025-07-28,
마이오피스 피규어 세트 ,BROF,판매중,2026-05-27,,
굿이너프 비치타월,BCTW,판매중,2018-08-07,,
굿나잇 미니 무드등,DP05,졸업,,,
