movement_id,이슈카테고리,입하예정일,실제입하일,프로젝트_발주자,출하장소,project_name,item (통합) (from order),이동수량_예정,입하수량,검수수량,불량수량_샘플링검수,재제작/추가제작,운영이슈내용(by물류),운영이슈개선여부,운영이슈개선방안_SCM,수량이슈내용,수량이슈대응방안_SCM,품질이슈내용구분,품질이슈대응필요여부,품질이슈내용,품질등급최초판정,품질등급의견_SCM,품질등급의견판단사유_SCM,품질이슈대응방안_SCM,이슈발생_Report,대표품목 계정구분 (from task)
MM00121869,수량이슈,2025.4.30,2025.5.2,김민정,(주)주니어 빌리지,PNA31186-25년4월_재고생산,포터블캠핑롤테이블(세트_본품및파우치),1010,1010,,,,,,,,,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recWC43jt1qW8xesz,5.상품
MM00121101,수량이슈,2025.4.24,2025.4.24,김민정,하이온,PNA31186-25년4월_재고생산,핸디링 미니 선풍기,3000,3000,,,,,,,3000개 아닌 2000개 입고됨,,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recCW6jnRApb8ETM1,5.상품
MM00123548,수량이슈,2025.4.18,2025.4.17,문경선,혜림봉투,PNA31186-25년4월_재고생산,OPP,1985,1985,,,,,,,"2000장 발주 / 1985장 입고입니다.
200장×9묶음
185장×1묶음

",추후 입고 시 추가로 입고 요청,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reciHpKIck2oQMsnl,8.수익
MM00120161,수량이슈,2025.4.8,2025.4.3,이난영,착한포장,PNA31185-25년3월_재고생산,투명손잡이지퍼백(S),3020,3020,,,,,,,3000ea 발주 중 2840ea 입하되었습니다,해당품목 협력사에서 160ea+a 택배발송예정입니다. ,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rectNHubAYLE5tuna,8.수익
MM00118043,수량이슈,2025.3.26,2025.3.26,김민지,주식회사 베러웨이시스템즈,PNA31185-25년3월_재고생산,주의사항표기서(전용),467,467,,,,,,,500개가 아닌 467개로 확인,33장 추가수량 차주 입고 예정,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recMaQF1gH9FFIjfm,8.수익
MM00117994,수량이슈,2025.3.25,2025.3.25,김민정,(주)이지앤,PNA31185-25년3월_재고생산,레디고런치박스_본품,1000,1001,,,,,,,"1020개가 아닌 1001개 입하되었으며, 불량1개(제품사진업로드) 제외하면 1000개 입고수량임.",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reczGpRyVmNNMRQpx,5.상품
MM00109528,수량이슈,2025.3.19,2025.3.19,이난영,(주)주니어 빌리지,PNA31183-25년1월_재고생산,메시지캐리어파우치(2024ver),1019,1019,,,,,,,"2박스 내품 1개씩 부족
ㄴ 총 2개 부족",차주 월요일 여유수량까지 추가 입고될 예정입니다. ,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec3ypH8vrgT3cgCg,5.상품
MM00106755,수량이슈,2025.2.26,2025.2.18,김민정,성우무역,PNA31183-25년1월_재고생산,린넨메쉬스트링파우치(M),2420,2420,,,,,,,"2/18 
2500개 발주 / 2410개 입하되었습니다. 
500개x3박스
480개x1박스
430개x1박스",이슈아님 확인되어 종결합니다,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recXE1SKfpz6sE3tv,5.상품
MM00104111,수량이슈,2025.2.5,2025.1.31,김민정,성우무역,PNA23533-24년12월_재고생산,테크미니파우치,2993,2993,,,,,,,"ㄴ 288개입*10카톤+113개입*1카톤=2,993개 입고 
ㄴ 고리 33개 입고","실입하수량 기준으로 입하처리 부탁 드리며, 고리 33개 추가분은 여유분으로 사용부탁 드립니다.",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rectKSLM7olGxnd8u,5.상품
MM00106301,수량이슈,2025.1.31,2025.1.31,이난영,(주)청산인쇄,PNA31183-25년1월_재고생산,골지G형박스(L),2883,2883,,,,,,,"2900개가 아닌 2883개 입고됨
50묶음이 51개나 49개,48개,47개로 정수량 아닌채 묶여 입고됨(총58묶음)",우선 실입고수량 기준으로 입하처리 부탁 드립니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recfyRCV7bkxEgMqc,5.상품
