Name,파츠명,판매상태,변경일(인터페이스용),판매상태 변경사유,재고소유구분 (from sync_parts),적용 굿즈명,품절 성격,품절 사유,굿즈품절여부,공유대상
SSU002173,PT1810-플레인USB(32GB)_화이트,품절예정,2026.6.4,"현 재고 1000개(용량 무관) 소진 이후 제조사 폐업으로 단종 예정입니다. 
응대중인 문의 건 확인 부탁드립니다. 발주 완료된 건은 이상없이 제작 가능합니다.",협력사,플레인 USB,비의도적품절,비의도적_기타,,
SSU002174,PT1807-플레인USB(16GB)_화이트,품절예정,2026.6.4,"현 재고 1000개(용량 무관) 소진 이후 제조사 폐업으로 단종 예정입니다. 
응대중인 문의 건 확인 부탁드립니다. 발주 완료된 건은 이상없이 제작 가능합니다.",협력사,플레인 USB,비의도적품절,비의도적_기타,,
SSU002175,PT1808-플레인USB(8GB)_화이트,품절예정,2026.6.4,"현 재고 1000개(용량 무관) 소진 이후 제조사 폐업으로 단종 예정입니다. 
응대중인 문의 건 확인 부탁드립니다. 발주 완료된 건은 이상없이 제작 가능합니다.",협력사,플레인 USB,비의도적품절,비의도적_기타,,
SSU002176,PT4330-히트업손난로보조배터리_화이트,의도적 품절,2026.6.9,"손난로 배터리 하절기 비시즌이므로 의도적 품절 처리합니다. 시즌 재개 전까지 건별로 협력사 재고 확인 부탁드립니다! (화이트, 그레이, 핑크 모두)",협력사,히트업 손난로 보조배터리,의도적품절,의도적_시즌종료,checked,
SSU002177,PT4332-히트업손난로보조배터리_핑크,의도적 품절,2026.6.9,"손난로 배터리 하절기 비시즌이므로 의도적 품절 처리합니다. 시즌 재개 전까지 건별로 협력사 재고 확인 부탁드립니다! (화이트, 그레이, 핑크 모두)",협력사,히트업 손난로 보조배터리,의도적품절,의도적_시즌종료,checked,
SSU002178,PT4159-하이업노트북폴딩스탠드(세트_본품및파우치),의도적 품절,2026.6.10,"협력사 재고 일시품절입니다. 
6/18 입고 되는 재고부터는 리뉴얼 기물인점 참고 부탁드립니다.
외관은 거의 동일하며 디테일이 살짝 다르고 무게가 더 가벼워진점 참고 부탁드리며
재입고 일정 참고하시어 고객응대 부탁드립니다.",협력사,하이업 노트북 폴딩스탠드,의도적품절,의도적_리뉴얼예정,,
SSU002179,PT2970-메시지캐리어파우치_메탈그레이,의도적 품절,2026.6.11,옵션 단순화 대상으로 추가 매입계획이 없어 의도적 품절처리합니다. 잔여재고 30개로 다른 색상과 섞어서 진행은 가능합니다! ,신시어리,메시지 캐리어 파우치,의도적품절,의도적_졸업예정,,
SSU002180,PT5386-슬림터보선풍기(냉각패드형)_올리브,일시품절,2026.6.15,"협력사 재고소진으로 일시품절입니다. 재입고 일정 6월 내 없습니다. 
추후 재입고 일정 확인되는대로 업데이트하겠습니다.
(올리브만 재입고 미정 / 화이트는 6월 말 협력사 재고 5천개 입고 예정)",협력사,슬림 터보 선풍기,비의도적품절,비의도적_공급부족,,
SSU002181,PT4745-임팩트슬로건타월_화이트,일시품절,2026.6.17,"PNA52556-주한미국대사관공공외교과 건 13,000개 발주 확정으로 일시품절되었습니다.

원단 재입고 일정은 7/23 예정으로 참고하시어 고객응대 부탁드립니다.",생산,임팩트 슬로건타월,비의도적품절,비의도적_수요초과,checked,
SSU002184,PT4830-솔리드레디백_블랙,품절예정,2026.6.19,"현 재고 40개 가능하며, 7월 둘째주 입고 예정입니다. (정확한 입고일정 확인되면 다시 공지드리겠습니다!) ",신시어리,솔리드 레디백,,,,
SSU002186,PT0901-뮤지엄머그_화이트,의도적 품절,2026.6.22,"진행 예정인 건으로 잔여 재고 소진되었으며, 졸업 예정으로 추가 매입 계획이 없어 의도적 품절 처리합니다!",신시어리,뮤지엄 머그,,,,
