period_unit,period_key,parts_no,parts_name,category,sub_category,procurement_type,production_type,sourcing_type,sales_status,is_managed,inv_qty,unit_price,inv_amount,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,stockout_start,stockout_days,last_issue_date,last_issue_summary,서브카테고리,inv_1m_avg,inv_3m_avg,inv_ytd_avg,is_first_order,is_new_product,season_type
weekly,2026-01-02,PT0555,PT0555-노트류지지대(전용)_화이트_100-2,Kit Package,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,1945,105,204225,850,3523,850,0.4370179949,1.811311054,0.4370179949,,0,,,미분류,204225,204225,204225,N,N,
weekly,2026-01-02,PT4696,PT4696-킵세이프마그넷배터리2.0,Tech,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,0,9011,0,780,3690,780,0,0,0,,0,,,배터리,0,0,0,N,Y,
weekly,2026-01-02,PT0554,PT0554-노트류지지대(전용)_블랙_100-2,Kit Package,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,1200,202,242400,1270,3170,1270,1.058333333,2.641666667,1.058333333,,0,,,미분류,242400,242400,242400,N,N,
weekly,2026-01-02,PT4730,PT4730-단품박스(전용)_화이트,Tech,Package Parts,직소싱,해외생산,직소싱,판매가능,Y,578,0,0,1131,3619,1131,0,0,0,,0,,,미분류,0,0,0,N,Y,
weekly,2026-01-02,PT4758,PT4758-단품박스(전용),Tech,Package Parts,직소싱,해외생산,직소싱,판매가능,Y,2286,409,934974,1770,3356,1770,0.7742782152,1.468066492,0.7742782152,,0,,,미분류,934974,934974,934974,N,Y,
weekly,2026-01-02,PT4757,PT4757-마그넷케이블홀더_블랙,Tech,Product Parts,직소싱,해외생산,직소싱,일시품절,Y,1606,877,1408462,1580,1930,1580,0.9838107098,1.201743462,0.9838107098,2026-01-02,0,,,PC/ 노트북 악세사리,1408462,1408462,1408462,N,Y,
weekly,2026-01-02,PT4759,PT4759-블리스터(전용),Tech,Package Parts,직소싱,해외생산,직소싱,판매가능,Y,2352,573,1347696,1770,3356,1770,0.7525510204,1.426870748,0.7525510204,,0,,,미분류,1347696,1347696,1347696,N,Y,
weekly,2026-01-02,PT4726,PT4726-단품박스(스탠다드)_화이트,Tech,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,1627,330,536910,980,3922,980,0.602335587,2.410571604,0.602335587,,0,,,미분류,536910,536910,536910,Y,Y,
weekly,2026-01-02,PT2817,PT2817-어텐션스포츠보틀,Drinkware,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,1660,7000,11620000,621,1091,621,0.3740963855,0.6572289157,0.3740963855,,0,,,보틀,11620000,11620000,11620000,N,N,
weekly,2026-01-02,PT2405,PT2405-베케이션여권케이스,Lifestyle,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,450,4200,1890000,500,1080,500,1.111111111,2.4,1.111111111,,0,,,여권케이스,1890000,1890000,1890000,N,N,
weekly,2026-01-02,PT0534,PT0534-무광스트링파우치(커스텀인쇄)(M)_블랙_200-1,Kit Package,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,879,399,350721,350,1230,350,0.3981797497,1.399317406,0.3981797497,,0,,,미분류,350721,350721,350721,N,N,
weekly,2026-01-02,PT0542,PT0542-골지트레이박스_화이트_200-1,Kit Package,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,0,1880,0,400,2750,400,0,0,0,,0,,,미분류,0,0,0,N,N,
weekly,2026-01-02,PT0833,PT0833-레더스킨다이어리_블랙,Stationery,Product Parts,국내생산,국내생산,해당없음,일시품절,Y,50,5600,280000,760,6861,760,15.2,137.22,15.2,2026-01-02,0,,,다이어리,280000,280000,280000,N,N,겨울
