period_unit,period_key,group_type,parent_group,group_name,inv_amount,inv_ratio,sku_count,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,weighted_avg_unit_price
weekly,2026-01-09,subcategory,Tech,충전패드,5256000,0.01243209342,2,300,2000,300,1.369863014,9.132420091,1.369863014,24000
weekly,2026-01-09,subcategory,Awards & Recognition,트로피,13961500,0.03302333946,2,234,2270,234,0.05866131863,0.5690649286,0.05866131863,3500
weekly,2026-01-09,subcategory,Tech,시계,1999200,0.004728736902,1,180,1526,180,0.7243460765,6.14084507,0.7243460765,4900
weekly,2026-01-09,subcategory,Tech,계절가전,5977724,0.01413919771,2,0,80,0,0,0.06751956134,0,5047.276265
weekly,2026-01-09,subcategory,Lifestyle,미분류,18406905,0.04353812071,1,0,0,0,0,0,0,15455
weekly,2026-01-09,subcategory,Lifestyle,도시락,1507255,0.003565132222,2,0,0,0,0,0,0,1696.10403
weekly,2026-01-09,subcategory,Lifestyle,세제,1142408,0.002702154295,2,0,100,0,0,0.09240827314,0,1055.679505
weekly,2026-01-09,subcategory,Lifestyle,골프,225630,0.0005336859279,1,0,510,0,0,11.33333333,0,5014
weekly,2026-01-09,subcategory,Wine,와인잔,34580,0.00008179257806,1,0,0,0,0,0,0,380
weekly,2026-01-16,category,,Drinkware,33663523,0.08624739711,14,3412,13566,3412,0.4609663935,1.832787249,0.4609663935,5125.628086
weekly,2026-01-16,category,,Stationery,96086901,0.2461787825,51,29942,126094,29942,1.275423268,5.371158293,1.275423268,4095.307825
weekly,2026-01-16,category,,Fragrance,2661963,0.006820063959,5,3102,11273,3102,1.353074738,4.917218416,1.353074738,1023.924405
weekly,2026-01-16,category,,Kit Package,19976614,0.05118094623,10,1800,6800,1800,0.2970884549,1.122334163,0.2970884549,3414.203517
weekly,2026-01-16,category,,Tech,61343281,0.1571641303,19,6666,22959,6666,1.408479606,4.851077598,1.408479606,14072.65713
weekly,2026-01-16,category,,Lifestyle,125340125,0.3211268035,22,7811,33414,7811,0.642667765,2.749212738,0.642667765,10240.83714
weekly,2026-01-16,category,,Bag&pouch,36733008,0.09411155,7,1910,6975,1910,0.4668523126,1.70486643,0.4668523126,9730.285977
weekly,2026-01-16,category,,Figure,750000,0.001921532331,2,0,0,0,0,0,0,5000
weekly,2026-01-16,category,,Awards & Recognition,13723500,0.0351601986,2,234,2270,234,0.05899655433,0.5723170014,0.05899655433,3500
weekly,2026-01-16,category,,Wine,34580,0.00008859545069,1,0,0,0,0,0,0,380
weekly,2026-01-16,sub_category,,Product Parts,390313495,1,133,54877,223351,54877,1.093165913,4.449217337,1.093165913,8180.733906
weekly,2026-01-16,sourcing,,국내소싱,92249653,0.1801807085,41,18140,67202,18140,1.582736883,5.86345557,1.582736883,8188.015879
weekly,2026-01-16,sourcing,,해당없음,269744981,0.5268620553,215,67884,294601,67884,0.7517190585,3.262288409,0.7517190585,3102.606895
weekly,2026-01-16,sourcing,,중개소싱,101797166,0.1988287749,18,7300,27828,7300,0.7452633604,2.840984766,0.7452633604,11287.22036
weekly,2026-01-16,sourcing,,직소싱,48192273,0.0941284613,17,12048,32215,12048,2.864623349,7.659681375,2.864623349,12457.92224
weekly,2026-01-16,production,,해외생산,242239092,0.4731379447,76,37488,127245,37488,1.509429482,5.123435616,1.509429482,10339.8846
weekly,2026-01-16,production,,국내생산,269744981,0.5268620553,215,67884,294601,67884,0.7517190585,3.262288409,0.7517190585,3102.606895
weekly,2026-01-16,procurement,,국내소싱,90630943,0.2322003829,36,16415,59726,16415,1.479921723,5.384697218,1.479921723,8311.859772
weekly,2026-01-16,procurement,,국내생산,157545861,0.4036392874,72,27261,127290,27261,0.7372714382,3.442547279,0.7372714382,4441.445919
weekly,2026-01-16,procurement,,중개소싱,98008711,0.2511025426,14,6650,23876,6650,0.7260964218,2.606959123,0.7260964218,11672.9423
weekly,2026-01-16,procurement,,직소싱,44127980,0.113057787,11,4551,12459,4551,1.298104082,3.553741761,1.298104082,13505.2115
weekly,2026-01-16,first_order,,N,458378965,0.8952992665,272,98461,394869,98461,1.172813677,4.703463949,1.172813677,5722.578247
weekly,2026-01-16,first_order,,Y,53605108,0.1047007335,19,6911,26977,6911,1.637988023,6.393865271,1.637988023,13404.08459
weekly,2026-01-16,new_product,,N,418556847,0.8175192727,239,78169,328633,78169,1.042022457,4.380802696,1.042022457,5764.323995
weekly,2026-01-16,new_product,,Y,93427226,0.1824807273,52,27203,93213,27203,2.586791103,8.863822338,2.586791103,9942.921983
weekly,2026-01-16,season,,미분류,361364321,0.7058116454,264,98660,372018,98660,1.40888854,5.312506556,1.40888854,5531.069114
weekly,2026-01-16,season,,겨울,65925691,0.1287651208,13,6312,46254,6312,0.5090994099,3.730653375,0.5090994099,5233.474398
